name,source,lat,lon,tract_geoid,county_fips
QTS Irving - Dallas Data Center Campus,osm,32.897248,-96.982647,48113014159,48113
Digital Realty Northern Virginia IAD36,osm,39.001549,-77.479375,51107611020,51107
Digital Realty Northern Virginia IAD35,osm,39.000533,-77.480577,51107611020,51107
Digital Realty Northern Virginia IAD37,osm,39.000032,-77.478015,51107611020,51107
Digital Realty Northern Virginia IAD38,osm,39.001084,-77.477201,51107611020,51107
U.S. Bank National Data Process Center,osm,38.935585,-94.864505,20091052804,20091
Digital Realty Northern Virginia IAD40,osm,39.006479,-77.467385,51107611020,51107
Digital Realty Northern Virginia IAD39,osm,39.007614,-77.46763,51107611020,51107
Choctaw Nation of Oklahoma Data Center,osm,33.971685,-96.402849,40013796400,40013
Flexential Philadelphia - Collegeville,osm,40.152237,-75.477618,42091206104,42091
Digital Realty Northern Virginia IAD44,osm,38.960854,-77.491398,51107980100,51107
Cyxtera Dallas-Fort Worth Data Center,osm,32.832716,-97.041024,48439106518,48439
Greenidge Power Plant and Data Center,osm,42.679359,-76.948581,36123150102,36123
Centersquare: Phoenix - (PHX1 - Mesa),osm,33.421254,-111.859019,04013421303,04013
Flexential Salt Lake City - Millcreek,osm,40.685569,-111.885051,49035111906,49035
Flexential Salt Lake City - Fair Park,osm,40.766796,-111.920295,49035102600,49035
Amazon New Albany: Jug and Beach Road,osm,40.099077,-82.751505,39089755601,39089
Centersquare Ashburn IAD4 Data Center,osm,39.021997,-77.4532,51107611006,51107
Google Data Center The Dalles Oregon,osm,45.632015,-121.201202,41065970500,41065
Flexential Salt Lake City - Downtown,osm,40.756307,-111.954837,49035114500,49035
Sabey Intergate.Ashburn (Building A),osm,39.0145,-77.479987,51107611019,51107
Aligned Data Center - Chicago ORD-01,osm,41.914003,-87.917516,17031811800,17031
Aligned Data Center - Chicago ORD-02,osm,41.912963,-87.91759,17031811800,17031
Flexential Dallas - Downtown Dallas,osm,32.80041,-96.819371,48113010001,48113
Digital Realty Silicon Valley SJC34,osm,37.372408,-121.973647,06085505202,06085
Cologix Santa Clara SV1 Data Center,osm,37.365402,-121.961673,06085505202,06085
Digital Realty Silicon Valley SJC10,osm,37.375822,-121.953336,06085505202,06085
Digital Realty Silicon Valley SJC30,osm,37.378287,-121.958111,06085505202,06085
Digital Realty Silicon Valley SJC15,osm,37.374997,-121.954077,06085505202,06085
Digital Realty Silicon Valley SJC16,osm,37.374932,-121.955999,06085505202,06085
Digital Realty Silicon Valley SJC29,osm,37.375023,-121.958096,06085505202,06085
Digital Realty Silicon Valley SJC11,osm,37.376367,-121.948565,06085505202,06085
Iron Mountain Data & Record Storage,osm,41.848705,-87.645458,17031840200,17031
CoreSite AT2 - Marietta Data Center,osm,33.925514,-84.481634,13067030405,13067
Maxxam Analytics International Inc.,osm,43.60568,-79.741216,,
Centersquare Lisle ORD4 Data Center,osm,41.802341,-88.094886,17043846102,17043
T-Mobile Everglades MSO Data Center,osm,26.184994,-80.286877,12011060113,12011
Flexential Atlanta - Douglasville 1,osm,33.731057,-84.616081,13097080105,13097
Flexential Nashville - Cool Springs,osm,35.951045,-86.833406,47187050307,47187
Flexential Atlanta - Douglasville 2,osm,33.730703,-84.61124,13097080105,13097
Digital Realty Silicon Valley SJC37,osm,37.370919,-121.947217,06085505202,06085
CoreSite Chicago Data Center (CH1),osm,41.87594,-87.631466,17031839100,17031
Flexential Salt Lake City - Lindon,osm,40.332648,-111.727875,49049000601,49049
NCAR-Wyoming Supercomputing Center,osm,41.128747,-104.897431,56021001902,56021
Digital Realty San Francisco SFO10,osm,37.723627,-122.397954,06075023300,06075
Google Datacenter - Douglas County,osm,33.750447,-84.585682,13097080105,13097
Information Technology Data Center,osm,42.982089,-70.950595,33015106200,33015
Google Berkeley County Data Center,osm,33.064008,-80.042374,45015020707,45015
Credit Suisse: Clifton Data Center,osm,40.83345,-74.140219,34031124402,34031
CoreSite Chicago Data Center (CH2),osm,41.862797,-87.641301,17031841900,17031
NTT Silicon Valley SV1 Data Center,osm,37.369053,-121.955338,06085505202,06085
Equinix Chicago Data Center - CH1,osm,41.853558,-87.618048,17031330101,17031
NCSA Petascale Computing Facility,osm,40.095259,-88.242031,17019001400,17019
Verizon Wireline Network Building,osm,40.494903,-74.443095,34023009300,34023
Intergate Seattle East Building 2,osm,47.495031,-122.29057,53033027200,53033
Intergate Seattle East Building 1,osm,47.49486,-122.288194,53033027200,53033
Intergate Seattle East Building 5,osm,47.491986,-122.289665,53033027200,53033
Intergate Seattle East Building 3,osm,47.49348,-122.290465,53033027200,53033
Intergate Seattle East Building 4,osm,47.493403,-122.28888,53033027200,53033
Flexential Portland - Hillsboro 1,osm,45.549825,-122.890845,41067031617,41067
Flexential Portland - Hillsboro 1,osm,45.550371,-122.892151,41067031617,41067
Intergate Seattle West Building C,osm,47.494123,-122.294397,53033027100,53033
Intergate Seattle West Building B,osm,47.493074,-122.293684,53033027100,53033
Intergate Seattle West Building A,osm,47.492183,-122.293318,53033027100,53033
Digital Realty Silicon Valley SC1,osm,37.361647,-121.943978,06085505202,06085
Data Foundry Austin 1 Data Center,osm,30.215504,-97.696074,48453002448,48453
Flexential Portland - Hillsboro 2,osm,45.558302,-122.917165,41067032612,41067
Google Jackson County Data Center,osm,34.914665,-85.748372,01071950200,01071
Digital Realty IAD41 (Building P),osm,39.008806,-77.458236,51107611020,51107
TierPoint - Charlotte Data Center,osm,35.173195,-80.928121,37119005928,37119
Norma Beach Cable Landing Station,osm,47.864693,-122.284153,53061042004,53061
Flexential Portland - Hillsboro 4,osm,45.555313,-122.940132,41067032603,41067
Flexential Portland - Hillsboro 3,osm,45.55948,-122.938201,41067032603,41067
Flexential Portland - Hillsboro 5,osm,45.556341,-122.939407,41067032603,41067
CyrusOne Cincinnati-Hamilton CIN4,osm,39.385272,-84.566284,39017000300,39017
All About Serving Process Server,osm,33.319916,-111.809686,04013811400,04013
Centre de données d'Hydro-Québec,osm,45.883905,-72.527888,,
Iron Mountain Data Centers AZS-1,osm,33.644666,-111.896098,04013216845,04013
Flexential Nashville - Brentwood,osm,35.972729,-86.808495,47187050306,47187
STACK NVA01A - Northern Virginia,osm,39.004693,-77.44174,51107611020,51107
Flexential Phoenix - Deer Valley,osm,33.684677,-112.09834,04013614700,04013
Flexential Allentown data center,osm,40.635695,-75.457573,42077005902,42077
Digital Realty PDX10 Data Center,osm,45.547607,-122.891952,41067031617,41067
Flexential Louisville - Downtown,osm,38.242501,-85.733336,21111006300,21111
Amazon AWS: Hilliard Data Center,osm,40.059866,-83.134284,39049007922,39049
Lumen Dallas - 3180 Irving Blvd.,osm,32.806955,-96.868589,48113010003,48113
Digital Realty PDX11 Data Center,osm,45.567954,-122.916772,41067032700,41067
Verizon Wireless NE Headquarters,osm,40.555609,-74.70552,34035053602,34035
Meta Stanton Springs Data Center,osm,33.600468,-83.700358,13217100202,13217
COPT Innovation Park Data Center,osm,38.743886,-77.530625,51153901409,51153
Digital Realty PDX11 Data Center,osm,45.56851,-122.919898,41067032700,41067
East Kentucky Network Datacenter,osm,37.600186,-82.678769,21071920301,21071
"Alembic Computer Services, Inc.",osm,33.405131,-111.977335,04013319709,04013
Flexential Minneapolis - Chaska,osm,44.851612,-93.598896,27019090802,27019
Black Rock Financial Management,osm,39.295481,-94.678011,29165030201,29165
First National Technical Center,osm,41.261422,-95.936498,31055001600,31055
Digital Realty New Jersey EWR10,osm,40.761818,-74.025028,34017017900,34017
CyrusOne Austin Data Center III,osm,30.207006,-97.701132,48453002448,48453
Digital Realty New Jersey EWR20,osm,40.829928,-74.12675,34031124402,34031
Digital Realty New Jersey EWR21,osm,40.830586,-74.124514,34031124402,34031
Siemens EDA - HDC / Data Center,osm,45.318717,-122.76588,41005024402,41005
Vantage Data Centers Montreal I,osm,45.486669,-73.756131,,
Tennessee Processing Center LLC,osm,36.215644,-86.784001,47037012701,47037
Flexential Nashville - Franklin,osm,35.92042,-86.81554,47187051001,47187
Searcy Information Technologies,osm,35.249216,-91.740906,05145070402,05145
Meta Eagle Mountain Data Center,osm,40.268588,-112.015101,49049010115,49049
Meta Eagle Mountain Data Center,osm,40.265564,-112.01513,49049010115,49049
Meta Eagle Mountain Data Center,osm,40.272331,-112.015058,49049010115,49049
Flexential Las Vegas - Downtown,osm,36.168644,-115.143145,32003000700,32003
CyrusOne Cincinnati-Mason CIN3,osm,39.303894,-84.311613,39165032008,39165
Amazon Web Services Building C,osm,39.002752,-77.485449,51107611020,51107
CyrusOne Austin Data Center II,osm,30.205921,-97.697951,48453002448,48453
Facebook Altoona Data Center 1,osm,41.664248,-93.514758,19153010601,19153
Facebook Altoona Data Center 2,osm,41.665512,-93.508209,19153010601,19153
Facebook Fort Worth Datacenter,osm,32.983783,-97.259335,48439113941,48439
Flexential Dallas - Richardson,osm,32.994812,-96.752497,48085031813,48085
Facebook Altoona Data Center 3,osm,41.667052,-93.506565,19153010601,19153
Facebook Fort Worth Datacenter,osm,32.98492,-97.255045,48439113941,48439
Google Taylor Lake Data Center,osm,45.638514,-121.202063,41065970600,41065
Facebook Altoona Data Center 4,osm,41.667743,-93.516407,19153010601,19153
Facebook Fort Worth Datacenter,osm,32.988316,-97.255111,48439113941,48439
Facebook Altoona Data Center 5,osm,41.671187,-93.516594,19153010601,19153
Marquette-Adams Telephone Coop,osm,43.782176,-89.574841,55077960500,55077
DBT Data - Harrisonburg Center,osm,38.462603,-78.856725,51660000402,51660
Encompass Minneapolis Facility,osm,45.132157,-93.095616,27003050236,27003
The Pittock Internet Exchange,osm,45.521425,-122.680562,41051010601,41051
Digital Realty New York JFK13,osm,40.719928,-74.004458,36061003300,36061
Digital Realty New York JFK12,osm,40.717677,-74.008441,36061003300,36061
Digital Fortress - Portland 1,osm,45.521257,-122.681754,41051010601,41051
Digital Fortress - Portland 2,osm,45.476214,-122.776087,41067030401,41067
NTT RagingWire DC - Hillsboro,osm,45.54968,-122.937387,41067032608,41067
Minnesota Gateway Data Center,osm,44.971288,-93.254697,27053126102,27053
Verizon - Bloomington Network,osm,44.807108,-93.375382,27053025907,27053
Digital Realty New York HVN10,osm,41.240731,-73.147267,09001090500,09001
Iron Mountain Records Storage,osm,33.42038,-112.041326,04013117200,04013
Equinix New York Secaucus NY5,osm,40.778585,-74.072324,34017019900,34017
Equinix New York Secaucus NY4,osm,40.776428,-74.069776,34017019900,34017
Equinix New York Secaucus NY2,osm,40.777291,-74.07594,34017019900,34017
Centersquare NYC3 Data Center,osm,40.786164,-74.069164,34017019900,34017
Digital Realty New York EWR12,osm,40.552928,-74.459204,34023000603,34023
Digital Realty New York EWR11,osm,40.553793,-74.457102,34023000603,34023
Prime SANTA CLARA DATA CENTER,osm,37.375029,-121.954877,06085505202,06085
Flexential Denver - Englewood,osm,39.558994,-104.837556,08035014014,08035
Flexential Atlanta - Norcross,osm,33.95474,-84.198525,13135050324,13135
Experian McKinney Data Center,osm,33.171796,-96.725505,48085030517,48085
Microsoft Boydton Data Center,osm,36.68592,-78.37641,51117930600,51117
Stonewall Creek Business Park,osm,39.051467,-77.539438,51107611004,51107
Google Montgomery Data Center,osm,36.628255,-87.260102,47125102010,47125
QTS Data Center - Hillsboro 1,osm,45.558815,-122.927766,41067032603,41067
Sungard Systems International,osm,33.404776,-86.911565,01073014303,01073
QTS Data Center - Hillsboro 2,osm,45.558799,-122.929774,41067032603,41067
QTS Data Center - Hillsboro 2,osm,45.558784,-122.931814,41067032603,41067
QTS Data Center - Hillsboro 2,osm,45.558807,-122.935154,41067032603,41067
QTS Data Center - Hillsboro 2,osm,45.558796,-122.933002,41067032603,41067
Verizon Wireless Mew Building,osm,32.972041,-97.156714,48439113955,48439
NTT RagingWire DC - Hillsboro,osm,45.548079,-122.937787,41067032608,41067
QTS Data Center - Hillsboro 3,osm,45.571925,-122.918438,41067032700,41067
QTS Data Center - Hillsboro 3,osm,45.570191,-122.919833,41067032700,41067
Flexential Denver - Downtown,osm,39.74597,-104.994159,08031001707,08031
Flexential - Denver - Aurora,osm,39.661049,-104.848832,08005080400,08005
Open Data Centers Piscataway,osm,40.55035,-74.456856,34023000603,34023
"Forescout Technologies, Inc.",osm,37.322868,-121.947418,06085506401,06085
Digital Realty Toronto YYZ10,osm,43.838316,-79.323474,,
Digital Realty Toronto YYZ11,osm,43.778949,-79.540643,,
360 Spear Street Data Center,osm,37.788992,-122.390137,06075061505,06075
Flexential Charlotte - South,osm,35.135415,-80.936831,37119005915,37119
Intergate Quincy Data Center,osm,47.245367,-119.81609,53025010500,53025
Digital Realty Phoenix PHX15,osm,33.274923,-111.886638,04013812200,04013
Stack Infrastructure - POR02,osm,45.547376,-122.897387,41067031617,41067
Flexential Louisville - East,osm,38.277191,-85.50724,21111010406,21111
Hurricane Electric Fremont 1,osm,37.489885,-121.931024,06001441525,06001
Hurricane Electric Fremont 2,osm,37.471834,-121.920291,06001441503,06001
Walmart Colorado Data Center,osm,38.985733,-104.787263,08041007502,08041
Digital Realty Chicago ORD12,osm,41.928356,-87.859255,17031811302,17031
UF Research Computing Center,osm,29.672591,-82.299929,12001000400,12001
Apollo Cable Landing Station,osm,40.157044,-74.101582,34025808702,34025
TierPoint Dallas Data Center,osm,32.807982,-96.857389,48113010003,48113
Stack Infrastructure - POR01,osm,45.549327,-122.927818,41067032608,41067
Microsoft - Azure Datacenter,osm,41.922956,-87.918263,17031811702,17031
Ascent - Atlanta Data Center,osm,34.057092,-84.273003,13121011618,13121
Flexential Las Vegas - North,osm,36.248163,-115.101255,32003003626,32003
Stack Infrastructure - POR03,osm,45.554132,-122.937907,41067032603,41067
Digital Realty Atlanta ATL11,osm,33.746561,-84.579738,13097080105,13097
EdgeConneX PHX02 Data Center,osm,33.352009,-111.647529,04013422655,04013
CyrusOne OCB1 Council Bluffs,osm,41.212197,-95.878,19155031400,19155
Stack Infrastructure - POR03,osm,45.554152,-122.939406,41067032603,41067
Stack Infrastructure - POR03,osm,45.554194,-122.940926,41067032603,41067
Stack Infrastructure - POR03,osm,45.552898,-122.93798,41067032603,41067
Flexential Charlotte - North,osm,35.329773,-80.765759,37119005533,37119
State of Montana Data Center,osm,46.406885,-105.820697,30017961600,30017
Amazon AWS SAT - 12807 Donop,osm,29.29301,-98.391599,48029141700,48029
Stream Data Centers Houston,osm,30.178137,-95.486046,48339691201,48339
DataPro USA Web Development,osm,33.611662,-111.913983,04013216816,04013
NTT Ashburn VA7 Data Center,osm,39.016014,-77.471954,51107611019,51107
Lumen Madison 1 Data Center,osm,43.067716,-89.392279,55025001605,55025
Pearl Plaza Office Building,osm,39.74523,-104.979332,08031002602,08031
Insurance Exchange Building,osm,39.745572,-104.995691,08031001707,08031
CyrusOne Cincinnati-Lebanon,osm,39.38897,-84.221853,39165032100,39165
H5 Data Centers San Antonio,osm,29.429371,-98.486906,48029110100,48029
CyrusOne Chicago Aurora CME,osm,41.796608,-88.243823,17043846409,17043
Xfinity/Comcast Data Center,osm,39.588324,-104.832418,08005006864,08005
Evocative Santa Clara SJC11,osm,37.389536,-121.96194,06085505010,06085
NTT Ashburn VA1 Data Center,osm,39.022744,-77.454891,51107611006,51107
Digital Realty Austin AUS11,osm,30.212156,-97.695756,48453002448,48453
Digital Realty Dallas DFW17,osm,32.96628,-96.713212,48113019053,48113
Digital Realty Dallas DFW29,osm,32.967276,-96.710529,48113019053,48113
Digital Realty Dallas DFW28,osm,32.967282,-96.713322,48113019053,48113
Digital Realty Dallas DFW35,osm,32.96505,-96.710255,48113019053,48113
Digital Realty Dallas DFW18,osm,32.965258,-96.712611,48113019053,48113
Digital Realty Dallas DFW16,osm,32.966043,-96.715592,48113019053,48113
NTT Ashburn VA2 Data Center,osm,39.025013,-77.45764,51107611006,51107
NTT Ashburn VA3 Data Center,osm,39.017225,-77.470372,51107611019,51107
NTT Ashburn VA5 Data Center,osm,39.018303,-77.472611,51107611019,51107
NTT Ashburn VA4 Data Center,osm,39.019868,-77.472592,51107611019,51107
Meta Huntsville Data center,osm,34.847324,-86.626919,01089010704,01089
Meta Huntsville Data center,osm,34.843482,-86.628856,01089010704,01089
Meta Huntsville Data center,osm,34.840441,-86.628825,01089010704,01089
NTT Ashburn VA8 Data Centre,osm,39.020189,-77.475509,51107611019,51107
fifteenfortyseven CSR ORNY1,osm,41.034493,-73.975786,36087012800,36087
MineOne Wyoming Data Center,osm,41.12499,-104.894849,56021001902,56021
Centro de datos Equinix MO1,osm,25.766694,-100.193329,,
Centro de datos Equinix MO2,osm,25.724135,-100.132711,,
Meta Huntsville Data Center,osm,34.844257,-86.628022,01089010704,01089
San Jose Colocation Center,osm,37.334118,-121.891646,06085500800,06085
Profit Finder Pro Software,osm,33.627248,-111.902048,04013216816,04013
DāStor: 3400 Horizon Drive,osm,40.087919,-75.33972,42091205906,42091
CoreSite Reston Campus VA1,osm,38.950606,-77.36455,51059481202,51059
Lincoln Rackhouse Maryland,osm,39.058608,-76.964467,24031701425,24031
Aligned Energy Data Center,osm,33.659055,-112.111159,04013616500,04013
Digital Realty Data Center,osm,33.34462,-111.899219,04013319909,04013
Digital Realty Data Center,osm,33.657009,-84.41522,13121010801,13121
Terminal Commerce Building,osm,39.959812,-75.160833,42101037600,42101
Geneseo Communications Inc,osm,41.550269,-90.482409,19163013702,19163
QTS Piscataway Data Center,osm,40.556943,-74.483917,34023000603,34023
"CyrusOne NVA1, NVA2 & NVA3",osm,39.025902,-77.41447,51107611501,51107
BT Radianz: 492 River Road,osm,40.821454,-74.134187,34013013600,34013
Expedient Pittsburgh South,osm,40.427371,-80.042521,42003469000,42003
Digital Fortress: Richmond,osm,37.360061,-77.327038,51041100403,51041
Amazon Web Services  CMH50,osm,40.09463,-82.751339,39089755601,39089
Meta Los Lunas Data Center,osm,34.829831,-106.77852,35061980300,35061
DataBank Plano Data Center,osm,33.087741,-96.815218,48085031657,48085
Flexential Fort Lauderdale,osm,26.190086,-80.193297,12011050208,12011
Amazon Web Services IAD117,osm,39.023698,-77.419095,51107611502,51107
Amazon Web Services IAD116,osm,39.024346,-77.420439,51107611502,51107
Charles Schwab Data Center,osm,33.004512,-97.246141,48121020312,48121
Amazon Web Services  CMH53,osm,40.093616,-82.751455,39089755601,39089
Amazon Web Services  CMH59,osm,40.094046,-82.747491,39089755601,39089
CoreSite Reston Campus VA2,osm,38.951455,-77.363999,51059481202,51059
Apple - Maiden Data Center,osm,35.588765,-81.26231,37035011702,37035
NocRoom Miami IT Services,osm,25.791545,-80.317748,12086009102,12086
NocRoom Miami IT Services,osm,25.646562,-80.423435,12086980200,12086
Windstream Communications,osm,35.881397,-78.851552,37063002037,37063
Data Holdings Data Center,osm,43.043941,-87.953979,55079013600,55079
Chick-fil-A Hiring Center,osm,42.627942,-82.988394,26099227300,26099
Amazon Web Services IAD69,osm,39.025485,-77.4147,51107611501,51107
Hive Digital Technologies,osm,45.636864,-74.287993,,
Date Center West - Eugene,osm,44.050607,-123.092978,41039003900,41039
L3Harris Technologies Inc,osm,33.305337,-111.67169,04013522802,04013
Merrill Lynch Data Center,osm,40.60738,-74.173167,36085029105,36085
32 Avenue of the Americas,osm,40.719994,-74.004568,36061003300,36061
QTS Atlanta Data Center 1,osm,33.77769,-84.421154,13121000700,13121
Digital Realty Building A,osm,39.002741,-77.481957,51107611020,51107
Baltimore Technology Park,osm,39.275367,-76.62551,24510210100,24510
QTS Suwanee Data Center 1,osm,34.035396,-84.061106,13135050224,13135
QTS Suwanee Data Center 2,osm,34.037062,-84.057696,13135050224,13135
Centersquare Lynnwood SE1,osm,47.841809,-122.301665,53061051601,53061
Stream Data Centers PHX-1,osm,33.419491,-112.359988,04013061058,04013
TPx Colocation Datacenter,osm,33.707507,-117.844104,06059075516,06059
Cologix Jacksonville JAX1,osm,30.33143,-81.662426,12031017200,12031
Digital Fortress Lynnwood,osm,47.822404,-122.289614,53061051702,53061
Rackspace Richardson DFW3,osm,32.964781,-96.715855,48113019053,48113
Flexential Dallas - Plano,osm,33.007033,-96.666351,48085031901,48085
Centersquare Atlanta ATL1,osm,33.744222,-84.581212,13097080105,13097
Johns Hopkins Data Center,osm,39.293559,-76.551731,24510260404,24510
Date Center West - Eugene,osm,42.33246,-122.880426,41029000201,41029
QTS Ashburn-Shellhorn DC1,osm,38.998078,-77.475471,51107611020,51107
QTS Atlanta Data Center 2,osm,33.777601,-84.419446,13121000700,13121
Amazon Web Services CMH56,osm,40.096534,-82.752051,39089755601,39089
QTS Ashburn-Shellhorn DC2,osm,38.99871,-77.474326,51107611020,51107
Amazon Web Services CMH62,osm,40.092986,-82.747628,39089755601,39089
Meta Gallatin Data Center,osm,36.411893,-86.369653,47165020602,47165
Meta Gallatin Data Center,osm,36.411378,-86.366004,47165020602,47165
Meta Gallatin Data Center,osm,36.406064,-86.366628,47165020602,47165
DataBank Santa Clara SFO1,osm,37.407303,-121.96598,06085505010,06085
Vantage Data Centers TX22,osm,29.479085,-98.697701,48029171912,48029
Digital West Data Center,osm,35.255316,-120.641513,06079011505,06079
Frontier (supercomputer),osm,35.929513,-84.310567,47145980100,47145
DataBank Pittsburgh PIT2,osm,40.45137,-80.190166,42003453004,42003
DataBank Piscataway EWR2,osm,40.549214,-74.45821,34023000603,34023
Equinix Chicago Data CH7,osm,41.812563,-87.97285,17043844702,17043
EdgeConneX Detroit DET01,osm,42.447669,-83.262634,26125161800,26125
Microsoft CYS Datacenter,osm,41.122588,-104.903517,56021001902,56021
